Date/Time,PERIMETER_TOP_ZN_3:Zone Mean Air Temperature [C](Hourly),PERI3_TOP_LOTEMP:Zone Radiant HVAC Heating Rate [W](Hourly),PERI3_TOP_LOTEMP:Zone Radiant HVAC Pump Electricity Rate [W](Hourly),BOILER_RADSYS:Boiler Electricity Rate [W](Hourly),HOT WATER LOOP HW SUPPLY PUMP2:Pump Electricity Rate [W](Hourly) 
 01/20  01:00:00,21.376330058212476,7965.876438246143,100.0,9838.389283723913,78.11520512820514 
 01/20  02:00:00,21.043133101127319,9515.175002057531,100.0,11714.84752245507,78.11520512820514 
 01/20  03:00:00,21.031999503507497,9521.124775401404,100.0,11758.08343622393,78.11520512820514 
 01/20  04:00:00,21.0630766098146,9244.273587826776,100.0,11355.50828617386,78.11520512820514 
 01/20  05:00:00,21.030063270884669,9392.718795888475,100.0,11557.233344552744,78.11520512820514 
 01/20  06:00:00,21.113852522067899,8935.991349442937,100.0,11009.312111188545,78.11520512820514 
 01/20  07:00:00,21.18479224209431,8600.45147591133,100.0,10566.831192354784,78.11520512820514 
 01/20  08:00:00,21.227917430063746,8394.904178078586,100.0,10299.314256856545,78.11520512820514 
 01/20  09:00:00,21.37612829394498,7746.622164919363,100.0,9507.73154235542,78.11520512820514 
 01/20  10:00:00,21.605480149511345,6744.514662617528,100.0,8241.397562495054,78.11520512820514 
 01/20  11:00:00,21.81478654267445,5932.326242440584,100.0,7319.88020889538,78.11520512820514 
 01/20  12:00:00,21.99466350257789,4283.564974957148,80.0,5186.267898412675,62.492164102564107 
 01/20  13:00:00,21.986435774671855,4332.371110524461,75.0,5277.007600063191,58.58640384615385 
 01/20  14:00:00,21.98811224186422,5413.494262542464,95.0,6625.955630118554,74.20944487179489 
 01/20  15:00:00,21.955146379817074,5798.260316237029,100.0,7041.508518646445,78.11520512820514 
 01/20  16:00:00,21.88663995393937,6080.226554519793,100.0,7416.487307638429,78.11520512820514 
 01/20  17:00:00,21.746942409732836,6683.463144064552,100.0,8134.198084493149,78.11520512820514 
 01/20  18:00:00,21.580908700512525,7387.933351806569,100.0,9080.010013096242,78.11520512820514 
 01/20  19:00:00,21.37257305050818,8238.72612030976,100.0,10136.831700073168,78.11520512820514 
 01/20  20:00:00,21.231859595058258,8788.534821931744,100.0,10813.058843996332,78.11520512820514 
 01/20  21:00:00,21.242652369848249,8655.345350623864,100.0,10662.626447208364,78.11520512820514 
 01/20  22:00:00,21.384274295085218,7951.185084127419,100.0,9786.508158590232,78.11520512820514 
 01/20  23:00:00,21.426694685262416,7722.5844447350759,100.0,9506.8806625746,78.11520512820514 
 01/20  24:00:00,21.459272267893934,7641.2602962752139,100.0,9399.636433512896,78.11520512820514 
 01/21  01:00:00,21.539292827653207,7281.488842182711,100.0,8923.280660413244,78.11520512820514 
 01/21  02:00:00,21.457900851833409,7705.746472694185,100.0,9461.501100011714,78.11520512820514 
 01/21  03:00:00,21.461781314379555,7686.197398331418,100.0,9498.892462297283,78.11520512820514 
 01/21  04:00:00,21.484161027159606,7590.116806702055,100.0,9292.27837420669,78.11520512820514 
 01/21  05:00:00,21.509832841157139,7482.064573859416,100.0,9184.854748154987,78.11520512820514 
 01/21  06:00:00,21.553947629283046,7310.352736888813,100.0,8948.667416057018,78.11520512820514 
 01/21  07:00:00,21.866228025849418,5997.711101774583,100.0,7291.837923504858,78.11520512820514 
 01/21  08:00:00,19.598051583792985,16441.88873933259,100.0,19803.180078620553,78.11520512820514 
 01/21  09:00:00,20.023819971396333,13996.365628950982,100.0,17817.215592767945,78.11520512820514 
 01/21  10:00:00,20.358945574133043,12115.977570244428,100.0,14952.439923654229,78.11520512820514 
 01/21  11:00:00,20.586267213047248,10867.324349863906,100.0,13374.77525236562,78.11520512820514 
 01/21  12:00:00,20.747808554042117,9976.594209713656,100.0,12287.241083842235,78.11520512820514 
 01/21  13:00:00,20.721621675277637,10009.06638170588,100.0,12332.42896703507,78.11520512820514 
 01/21  14:00:00,20.88663984789934,9170.191777822798,100.0,11309.558052674702,78.11520512820514 
 01/21  15:00:00,20.879362380061744,9143.90642664028,100.0,11274.962178028285,78.11520512820514 
 01/21  16:00:00,20.789241413540418,9557.199270569898,100.0,11767.503613009323,78.11520512820514 
 01/21  17:00:00,20.773002945931887,9621.004411949258,100.0,11857.751144062946,78.11520512820514 
 01/21  18:00:00,20.435667345548496,11163.349640777322,100.0,13742.942381290364,78.11520512820514 
 01/21  19:00:00,20.240309877446295,12038.639411311526,100.0,14865.244395116737,78.11520512820514 
 01/21  20:00:00,20.19586261816678,12159.289161511715,100.0,15028.77105010086,78.11520512820514 
 01/21  21:00:00,20.15633658414601,12248.468797668322,100.0,15170.400777949999,78.11520512820514 
 01/21  22:00:00,22.47956560087173,783.4519079725922,9.999999999999999,1117.4055247174998,7.81152051282051 
 01/21  23:00:00,21.94351934581652,4765.486948229934,80.0,5823.245985407867,62.492164102564107 
 01/21  24:00:00,21.765064762174217,6431.241437835056,100.0,7844.160223937122,78.11520512820514 
 01/22  01:00:00,21.52571006334305,7479.506116235365,100.0,9215.422123531589,78.11520512820514 
 01/22  02:00:00,21.341997635930406,8225.527545658011,100.0,10124.036809328969,78.11520512820514 
 01/22  03:00:00,21.313608191535996,8298.026012332597,100.0,10219.305792330946,78.11520512820514 
 01/22  04:00:00,21.43087081388537,7666.184753495814,100.0,9451.954916616112,78.11520512820514 
 01/22  05:00:00,21.415677472301764,7698.364650247492,100.0,9447.1585551344,78.11520512820514 
 01/22  06:00:00,21.2081744743548,8597.973694804807,100.0,10577.419988074631,78.11520512820514 
 01/22  07:00:00,21.853996976013329,5885.313724610912,100.0,7261.015069975796,78.11520512820514 
 01/22  08:00:00,19.604387459195356,16271.405048421697,100.0,19706.441836894985,78.11520512820514 
 01/22  09:00:00,19.924235908126599,14378.748761347908,100.0,18239.93785546667,78.11520512820514 
 01/22  10:00:00,20.136992479607608,13095.888992710708,100.0,16237.152554135737,78.11520512820514 
 01/22  11:00:00,20.36231485511461,11848.85687340546,100.0,14684.280452888703,78.11520512820514 
 01/22  12:00:00,20.483789478376616,11097.386841998372,100.0,13749.901939396159,78.11520512820514 
 01/22  13:00:00,20.386091535416818,11479.618363360834,100.0,14246.901495945833,78.11520512820514 
 01/22  14:00:00,20.51311900137531,10781.805899403293,100.0,13311.456164133046,78.11520512820514 
 01/22  15:00:00,20.506111015471885,10748.115674892726,100.0,13278.483426724273,78.11520512820514 
 01/22  16:00:00,20.411753848217253,11117.58632729474,100.0,13756.83295189178,78.11520512820514 
 01/22  17:00:00,20.374405279513959,11264.200071481899,100.0,13967.381930914456,78.11520512820514 
 01/22  18:00:00,19.982332044666433,12993.772201863778,100.0,16043.70076515237,78.11520512820514 
 01/22  19:00:00,19.73461907068723,14053.655640268178,100.0,17411.28186632143,78.11520512820514 
 01/22  20:00:00,19.700487564822486,14027.846416910024,100.0,17388.60381867826,78.11520512820514 
 01/22  21:00:00,19.587348447296557,14356.581901966387,100.0,17790.265571289172,78.11520512820514 
 01/22  22:00:00,21.702232112916286,4995.300539089776,100.0,6266.19200841626,78.11520512820514 
 01/22  23:00:00,20.26421896195203,12435.513203693663,100.0,15224.870600802078,78.11520512820514 
 01/22  24:00:00,20.026842016154729,13526.25860747723,100.0,16753.78466318841,78.11520512820514 
