Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),CORE_TOP:Zone Total Internal Total Heating Rate [W](Hourly),CORE_TOP:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_3:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_2:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_1:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_4:Zone Mean Air Temperature [C](Hourly),CORE_TOP_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),PERI2_TOP_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),PERI3_TOP_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),PERI4_TOP_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),HP_RADSYS:Heat Pump Electric Power [W](Hourly),HOT WATER LOOP HW SUPPLY PUMP2:Pump Electric Power [W](Hourly) 
 06/15  01:00:00,16.9375,2780.82959564914,20.875447088883207,20.68464889147045,20.716691600466498,20.7127019973008,20.80373657520721,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  02:00:00,16.699999999999997,2780.82959564914,20.83371719304024,20.613035198223913,20.642682336447174,20.641239001993744,20.729820664377664,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  03:00:00,16.699999999999997,2780.82959564914,20.837577786432,20.579753893344625,20.603399012125999,20.604189568127724,20.679977335539016,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  04:00:00,16.385000000000006,2780.82959564914,20.84107156067275,20.536282507711677,20.555871463038924,20.561813962541348,20.620296932988727,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  05:00:00,16.1,2780.82959564914,20.83434542343936,20.49063965533013,20.526608771199887,20.50348689203498,20.549998199580494,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  06:00:00,16.677500000000003,3119.6039812842798,20.859214251784935,20.629442482594749,21.0331809114582,20.575374029866745,20.613358367423467,0.0,0.0,30.393,0.0,0.0,0.0,0.0 
 06/15  07:00:00,17.514999999999998,4245.451607531919,20.169195839599607,20.27493792859426,21.322570005562267,20.26373344375284,20.145122239335433,0.0,0.0,67.53999999999999,0.0,0.0,0.0,0.0 
 06/15  08:00:00,18.062500000000005,6049.250893545528,20.100224845078257,20.458012413018307,22.436822855547047,20.430660470183388,20.236005972573027,0.0,0.0,67.53999999999999,0.0,0.0,0.0,0.0 
 06/15  09:00:00,19.192500000000004,18101.736647504957,21.10767701048081,21.353960575331649,23.73961310790603,21.416122249381084,21.092244077378039,152.71476,68.91142500000002,67.53999999999999,63.71491499999998,52.0,0.0,0.0 
 06/15  10:00:00,20.5775,18101.736647504957,21.532920425652529,21.758575238450086,23.779889509067205,21.833879728995698,21.44256598904764,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/15  11:00:00,21.415,18265.019990212222,21.647658327640749,21.951808183297666,22.964999310758136,21.986557845595859,21.632551087852528,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/15  12:00:00,21.9625,18101.73664750495,21.70229459015264,22.068314870539877,22.672110878289204,22.17031788501871,21.756573808300517,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/15  13:00:00,22.7775,14572.507325244462,21.450974269589826,21.913641348329404,22.28941596261489,22.090619421266966,21.637421606162577,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/15  14:00:00,24.192500000000004,18101.736647504957,21.642343504598366,22.15066954197417,22.357714809290508,22.403723369791167,21.94979490510283,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/15  15:00:00,24.684999999999996,18265.019990212222,21.737546665941559,22.273893424029759,22.3708693608819,22.60795227835589,23.216757947130576,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/15  16:00:00,24.1375,18101.736647504957,21.779937134606173,22.283268115683094,22.28624528529095,22.629576006255929,23.994527722628147,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/15  17:00:00,23.585,18101.736647504957,21.775759013913363,22.237708806154598,22.12315841791019,22.44800208041167,23.998158093711447,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/15  18:00:00,22.46,8609.530172617446,21.10436211644464,21.573060697862205,21.422642338230426,21.734910332137824,23.99881921442898,152.71476,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/15  19:00:00,21.385,5413.9869089617409,20.674623357160728,21.12300011894302,20.89319279314122,21.115606932839094,23.34978276154174,0.0,57.42618750000001,13.508000000000001,70.79434999999998,80.0,0.0,0.0 
 06/15  20:00:00,20.8375,5413.9869089617409,20.45061903987173,20.812419651528914,20.65639757768342,20.760002693801647,21.78152318711572,0.0,0.0,0.0,10.619152499999999,80.0,0.0,0.0 
 06/15  21:00:00,19.969999999999997,4829.719258246828,20.250701368978107,20.457227208906347,20.41038229646818,20.49629432316706,20.849065264663805,0.0,0.0,0.0,0.0,16.0,0.0,0.0 
 06/15  22:00:00,18.822499999999999,4829.719258246828,20.144074322345597,20.235684470550319,20.21330887149531,20.297229276338823,20.538244424226247,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  23:00:00,18.300000000000006,3927.819615240021,20.94743331619984,20.74759607217772,20.779295592517906,20.787521229836785,21.055731606396859,139.98853000000003,0.0,0.0,0.0,60.0,0.0,0.0 
 06/15  24:00:00,17.722500000000005,3635.6857898825685,21.070387982731256,20.816562373548775,20.849280382681454,20.85019713908404,20.958004081630393,254.52460000000003,0.0,0.0,0.0,20.0,0.0,0.0 
 06/16  01:00:00,16.9375,2780.82959564914,20.870635047557003,20.656048559031139,20.68775591410516,20.68636528651358,20.776669619199084,12.72623,0.0,0.0,0.0,0.0,0.0,0.0 
 06/16  02:00:00,16.9625,2780.82959564914,20.80830436262924,20.53430875005103,20.56325073573756,20.5647541734567,20.65518422775278,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/16  03:00:00,16.9375,2780.82959564914,20.781455300686184,20.49014086486708,20.513631634345154,20.517159854620805,20.59484527360572,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/16  04:00:00,16.385000000000006,2780.82959564914,20.753735055079944,20.3875650434974,20.405304373631809,20.40600151478477,20.470346194255403,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/16  05:00:00,15.8375,2780.82959564914,20.731079694644447,20.251155323508848,20.263606067955437,20.266585734881394,20.323138429641415,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/16  06:00:00,15.6,3119.6039812842798,20.754075466760658,20.28651392687047,20.30522890923931,20.3058494492114,20.349969265288885,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/16  07:00:00,15.8625,4245.451607531921,20.114552084167195,20.047006947896205,20.080173865578936,20.08625339533314,19.99265658558605,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/16  08:00:00,16.415,6049.250893545528,20.02228390988713,20.191658081290649,20.271504798010534,20.245586577154105,20.10683196491347,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/16  09:00:00,17.277499999999998,18101.736647504953,20.988856921196424,21.13159009457565,21.31615278865091,21.22060348865446,20.987025754994915,139.98853000000003,53.59777500000001,47.27799999999999,46.0163275,44.0,0.0,0.0 
 06/16  10:00:00,18.377500000000006,18101.736647504957,21.40081331514649,21.536594983493875,22.462846021226747,21.64166844576736,21.30916209784652,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/16  11:00:00,19.4775,18265.019990212222,21.549143234401347,21.75721838739572,22.292004094152234,21.846530070284595,21.499273485182365,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/16  12:00:00,21.154999999999999,18101.736647504957,21.61154308726811,21.920946070922854,22.239180393738484,22.112859636693888,21.652412780013337,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/16  13:00:00,23.092499999999999,14572.507325244462,21.331182858074187,21.833405793116947,21.993740688967269,22.139560206080519,21.615854474037858,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/16  14:00:00,24.4775,18101.73664750495,21.54753303103122,22.10583811808666,22.147833948518519,22.448896853219499,21.985118217739847,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/16  15:00:00,25.0,18265.019990212222,21.6500166533879,22.228852433947688,22.1928770672293,22.600511485615983,23.093350252170415,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/16  16:00:00,25.5775,18101.736647504957,21.65651485943567,22.238604106062444,22.14295571251278,22.610553276466385,23.937301807899908,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/16  17:00:00,25.8375,18101.736647504957,21.63251406623646,22.229788568175957,22.04599043427768,22.470927656096316,23.998045202898799,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/16  18:00:00,24.7075,8609.530172617446,20.9926795936462,21.600619240093267,21.39220816697655,21.789952223055776,23.988463148551014,89.08361,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/16  19:00:00,23.322499999999999,5413.9869089617409,20.602532155437218,21.149571883152107,20.86956345436449,21.175468405227467,23.162009659648086,0.0,65.08301250000003,13.508000000000001,70.79434999999998,80.0,0.0,0.0 
 06/16  20:00:00,22.2225,5413.98690896174,20.385262567949668,20.810516162351524,20.607740312785006,20.78897904660267,21.65981317579912,0.0,0.0,0.0,7.079434999999999,80.0,0.0,0.0 
 06/16  21:00:00,21.385,4829.719258246828,20.1937921790357,20.474988211265204,20.36880924586323,20.53434577176811,20.81499457031972,0.0,0.0,0.0,0.0,12.0,0.0,0.0 
 06/16  22:00:00,20.8375,4829.719258246828,20.07495326541929,20.264423490746468,20.18084926959285,20.346763233913003,20.532348237940345,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/16  23:00:00,20.600000000000006,3927.819615240021,20.939982129410759,20.91125630207759,20.88406590402628,20.960048969881137,21.1855261191999,139.98853000000003,45.940950000000018,30.393,35.397175,68.0,0.0,0.0 
 06/16  24:00:00,20.285000000000005,3635.6857898825685,21.099398128037604,20.962345336013735,20.93694657766088,20.983104094398564,21.10076134423285,254.52460000000003,30.62730000000001,10.131,21.238305,76.0,0.0,0.0 
 06/17  01:00:00,19.684999999999996,2780.82959564914,20.891761097344536,20.781671581752247,20.766139367271355,20.792962160010267,20.86102075206655,25.45246,0.0,0.0,0.0,0.0,0.0,0.0 
 06/17  02:00:00,19.399999999999996,2780.82959564914,20.826175432525845,20.697525950724314,20.677756160638649,20.70634692218372,20.800853836581095,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/17  03:00:00,19.137499999999997,2780.82959564914,20.811661420644144,20.632677984996584,20.613282106876587,20.647635249308388,20.738811601538197,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/17  04:00:00,18.585,2780.82959564914,20.796288604651257,20.564236446732929,20.54490597686937,20.57116402627022,20.652450690634767,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/17  05:00:00,18.0375,2780.82959564914,20.778211244165229,20.511856616314107,20.549282148582735,20.48810572817712,20.56234303793282,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/17  06:00:00,18.062500000000005,3119.6039812842798,20.820199016270359,20.6772484638844,21.361341314557519,20.570345530130277,20.6381906322826,0.0,0.0,50.65499999999999,0.0,0.0,0.0,0.0 
 06/17  07:00:00,18.614999999999996,4245.451607531919,20.13926992064048,20.28212968726735,22.201500425739668,20.250545819710835,20.140418407324668,0.0,0.0,67.53999999999999,0.0,0.0,0.0,0.0 
 06/17  08:00:00,20.055000000000005,6049.250893545528,20.064412292958776,20.51405515087044,22.878118706847834,20.446841456891215,20.24499863317846,0.0,0.0,67.53999999999999,0.0,0.0,0.0,0.0 
 06/17  09:00:00,21.415,18101.736647504957,21.03286079851533,21.443512478315044,23.760059670534653,21.48654675153191,21.15732276708511,139.98853000000003,68.91142500000002,67.53999999999999,63.71491499999998,56.0,0.0,0.0 
 06/17  10:00:00,23.1175,18101.736647504957,21.456614281601828,21.870537884447523,23.829359371355769,21.951744179755076,21.540792237112279,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/17  11:00:00,25.607499999999999,18265.019990212222,21.51718838313288,22.12931119524918,23.19367160273205,22.233907558058346,21.79540089984576,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/17  12:00:00,26.9625,18101.736647504957,21.5842028876756,22.29742987703487,22.937300669726768,22.5039451470505,21.976505388796605,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/17  13:00:00,27.514999999999995,14572.507325244462,21.396281917618074,22.189193419212449,22.594483454716813,22.5187603419189,21.925283039424629,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/17  14:00:00,27.485000000000008,18101.736647504957,21.61183729844165,22.398754358375624,22.62913484484185,22.732107968838503,22.23986401228469,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/17  15:00:00,26.9375,18265.019990212222,21.73205437084564,22.468035136376018,22.579975591471788,22.814506779070649,23.386507003557264,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/17  16:00:00,26.699999999999997,18101.736647504957,21.75815206273537,22.453043370144394,22.466981686384906,22.804670128555079,23.99813946917589,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/17  17:00:00,26.385,18101.736647504957,21.74652493093505,22.397443798820519,22.291630914516543,22.61590281724676,23.998246787328186,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/17  18:00:00,24.945,8609.530172617446,21.090839274888503,21.732368939853555,21.59316292315511,21.910282067868115,23.998674775156795,152.71476,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 06/17  19:00:00,23.322499999999999,5413.9869089617409,20.69549025363286,21.307347851738734,21.029218365778907,21.300297258695666,23.573036632900025,0.0,76.56825000000002,33.769999999999999,70.79434999999998,80.0,0.0,0.0 
 06/17  20:00:00,21.645,5413.9869089617409,20.49404732481069,20.964319315430545,20.77555988202294,20.881425529735659,21.988322923491969,0.0,11.4852375,0.0,35.397175,80.0,0.0,0.0 
 06/17  21:00:00,20.285000000000005,4829.719258246828,20.31421507581599,20.57431535242483,20.530428122050325,20.613175165132235,20.960921107377695,0.0,0.0,0.0,0.0,32.0,0.0,0.0 
 06/17  22:00:00,19.684999999999996,4829.719258246828,20.17856637519226,20.337758576225189,20.31973679524217,20.4066509094613,20.626132762151089,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/17  23:00:00,19.137499999999997,3927.819615240021,21.00552600460048,20.864375197505507,20.899022382613226,20.907306854405858,21.15729402026316,152.71476,22.970475000000005,20.262000000000005,0.0,70.0,0.0,0.0 
 06/17  24:00:00,18.899999999999996,3635.6857898825685,21.130936409147034,20.92838126394993,20.896024572519676,20.92091823914698,21.029806480432077,254.52460000000003,0.0,0.0,0.0,52.0,0.0,0.0 
 06/18  01:00:00,18.899999999999996,2780.82959564914,20.9137633429161,20.815217660004718,20.778009513201135,20.80192963829321,20.873463398801044,38.17869,0.0,0.0,0.0,0.0,0.0,0.0 
 06/18  02:00:00,18.899999999999996,2780.82959564914,20.857176916365515,20.767936532413516,20.73431378673488,20.755100371396084,20.837400331628325,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/18  03:00:00,18.585,2780.82959564914,20.85678802009739,20.713341196266908,20.679347351629369,20.70297654712797,20.779147035697357,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/18  04:00:00,18.300000000000006,2780.82959564914,20.854404841381425,20.625839830433877,20.59296067914018,20.618676809269908,20.683904573048275,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/18  05:00:00,18.300000000000006,2780.82959564914,20.83865271231482,20.577250277744484,20.580468440178696,20.555921173018406,20.60385145081747,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/18  06:00:00,18.8775,3119.6039812842798,20.86175409146611,20.74662329198373,21.12804814951919,20.662235326601498,20.708844009767974,0.0,0.0,40.523999999999997,0.0,0.0,0.0,0.0 
 06/18  07:00:00,19.715,4245.451607531919,20.112587346204145,20.373922302228189,21.486556402279797,20.329345202759055,20.211444467020127,0.0,0.0,67.53999999999999,0.0,0.0,0.0,0.0 
 06/18  08:00:00,21.470000000000004,6049.250893545528,20.017132823092458,20.626579116881407,22.371307939457734,20.577967101265899,20.380693086595195,0.0,0.0,67.53999999999999,0.0,0.0,0.0,0.0 
 06/18  09:00:00,24.27,18101.736647504957,20.943156811023238,21.6453994324125,23.45017130708032,21.711945823513099,21.369313525730456,127.26230000000001,72.73983750000002,67.53999999999999,67.25463249999999,72.0,0.0,0.0 
 06/18  10:00:00,25.600000000000013,18101.736647504957,21.378089763972548,22.17636533601463,23.71357285308826,22.320778699218218,21.858107976593514,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
