Date/Time,CORNER_CLASS_1_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),MULT_CLASS_1_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),CORRIDOR_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),MULT_CLASS_2_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),CORNER_CLASS_1_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),MULT_CLASS_1_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),CORRIDOR_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),MULT_CLASS_2_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),HP_RADSYS:Heat Pump Electric Power [W](Hourly),HOT WATER LOOP HW SUPPLY PUMP2:Pump Electric Energy [J](Hourly) 
 07/26  21:00:00,22.562758173949754,22.668590289416025,22.849843827950914,22.583147837672617,23.00072830568278,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/26  22:00:00,22.67533246559052,22.968014441251026,23.11804762824415,22.695842321005949,23.33078529669169,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/26  23:00:00,22.64544456490485,22.993432367672125,23.146471703970769,22.666155703905074,23.35936118411635,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/26  24:00:00,22.60912176182014,22.993249237167239,23.14894958850895,22.63126852874616,23.36095255425166,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/27  01:00:00,22.592407588557795,22.998658275483057,23.145209007074607,22.619268684529517,23.368694786401357,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/27  02:00:00,22.5778480309931,23.007032023686443,23.14545889480898,22.6121328279036,23.380244308969098,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/27  03:00:00,22.56891326342308,23.017388994184917,23.145983111882957,22.60724184157813,23.390198236881014,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/27  04:00:00,22.539147648395756,23.012936940688279,23.142047477417838,22.58213685455395,23.385622344528256,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/27  05:00:00,22.44008013874897,22.961753937940747,23.116662242453335,22.487861299025288,23.337074130858939,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/27  06:00:00,22.406706422297927,22.9334129131448,23.09328121793205,22.46422227939916,23.30627408765006,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/27  07:00:00,21.540008148508816,21.91570975494232,22.216772440492727,21.621915605375127,22.247263718643617,0.0,0.0,3.333333333333333,0.0,4.999999999999999,0.0,0.0 
 07/27  08:00:00,21.915023465711895,22.18790426927606,22.050667421866856,21.985973949789455,22.475823557739728,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/27  09:00:00,22.471584142575137,22.6717949521618,22.178215900578054,22.468491026951609,22.862634368680923,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/27  10:00:00,22.910924154533477,23.003970660480698,22.35615152031763,22.845292438403953,23.11063985886466,25.0,45.0,0.0,5.0,95.0,0.0,0.0 
 07/27  11:00:00,23.299361089329019,23.280926665706823,22.539810582474105,23.166431567621623,23.228546948802827,100.0,100.0,0.0,100.0,100.0,0.0,0.0 
 07/27  12:00:00,23.461394594239367,23.43903952696408,22.6938537995971,23.237849853181566,23.252450143777247,100.0,100.0,0.0,100.0,100.0,0.0,0.0 
 07/27  13:00:00,23.496370080805258,23.489065302004737,22.774237933713775,23.192551636697496,23.197138340101156,100.0,100.0,0.0,100.0,100.0,0.0,0.0 
 07/27  14:00:00,23.474283951597898,23.42826923490677,22.812780360983547,23.161919790543135,23.117296291382286,100.0,100.0,0.0,100.0,100.0,0.0,0.0 
 07/27  15:00:00,23.654331736970357,23.324284414647626,22.880533693655115,23.385010412180855,23.046690180212307,100.0,100.0,0.0,100.0,100.0,0.0,0.0 
 07/27  16:00:00,23.87198152496,23.184393253268614,22.93935633524513,23.650959244323454,22.960057600281407,100.0,100.0,0.0,100.0,10.0,0.0,0.0 
 07/27  17:00:00,23.511310490952618,22.702878121589703,22.848659336482755,23.381190348081579,22.658590728666014,100.0,10.0,0.0,100.0,0.0,0.0,0.0 
 07/27  18:00:00,22.946361423995346,22.36798800294223,22.66635296491305,22.915286397417125,22.451773948283216,45.0,0.0,0.0,40.0,0.0,0.0,0.0 
 07/27  19:00:00,22.397634623534104,22.126287090190613,22.449120737054455,22.437008179509936,22.277448706324333,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/27  20:00:00,21.86705713314345,21.86801350961234,22.202834310345258,21.953759049109804,22.058987238895953,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/27  21:00:00,22.17403281524057,22.48419944158521,22.905435219376863,22.290709335295067,22.739146333348299,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/27  22:00:00,22.23533225038701,22.745312326935154,23.118496847140116,22.377429530708477,23.032444422106026,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/27  23:00:00,22.17797348105757,22.745215482675414,23.119690232339033,22.322413670693618,23.038381580675599,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/27  24:00:00,22.13401714117631,22.733383069521588,23.101356544456555,22.278135452527598,23.031834123154885,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/28  01:00:00,22.091626299750318,22.717026382495559,23.074739917392,22.236885337634069,23.019041124150808,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/28  02:00:00,22.06169193555685,22.70658399229154,23.048953002778739,22.210344837685989,23.01236423803973,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/28  03:00:00,22.020159835204465,22.688536574594658,23.021869798850145,22.17732444244963,23.001059962706355,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/28  04:00:00,22.011662117132997,22.692027574289186,23.00375749562376,22.170324402080646,23.003941487044139,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/28  05:00:00,22.010779831802556,22.70328401084312,22.99400081019023,22.171476747593827,23.015174846659798,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/28  06:00:00,22.036972494238289,22.71693458563887,22.99501109901572,22.205681524047554,23.023700061929174,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/28  07:00:00,21.171573347739959,21.662542274987908,22.09454168590321,21.35731267658987,21.939897146130268,0.0,0.0,1.6666666666666666,0.0,3.333333333333333,0.0,0.0 
 07/28  08:00:00,21.64505644459256,22.040723429582486,21.986222273385704,21.815117694341219,22.29982647045997,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/28  09:00:00,22.14338400653982,22.478629054905587,22.108543106954323,22.24496199078113,22.67448715323055,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/28  10:00:00,22.50863555282025,22.755419660173275,22.268379814464646,22.57553862719079,22.92367311479793,0.0,0.0,0.0,0.0,10.0,0.0,0.0 
 07/28  11:00:00,22.990266325453129,23.113534240149226,22.439806491401457,22.947061042064399,23.12493284225713,45.0,70.0,0.0,35.0,100.0,0.0,0.0 
 07/28  12:00:00,23.371312370292537,23.39111038283147,22.610319953487776,23.202364918406574,23.210477270970907,100.0,100.0,0.0,100.0,100.0,0.0,0.0 
 07/28  13:00:00,23.47511917565049,23.47793749258195,22.746021078788134,23.236757311175159,23.21741496127034,100.0,100.0,0.0,100.0,100.0,0.0,0.0 
 07/28  14:00:00,23.514851872501745,23.489018104411806,22.843213882068008,23.244500625231724,23.192699551632726,100.0,100.0,0.0,100.0,100.0,0.0,0.0 
 07/28  15:00:00,23.713121014527109,23.371655296391304,22.928937879236224,23.472713667690205,23.09800550623031,100.0,100.0,0.0,100.0,100.0,0.0,0.0 
 07/28  16:00:00,23.847705751343228,23.192136353171553,22.952571463117854,23.639463388387193,22.9482766728917,100.0,100.0,0.0,100.0,20.0,0.0,0.0 
 07/28  17:00:00,23.43221460305906,22.659040196754906,22.818561524239077,23.308636655209399,22.584091729753387,100.0,10.0,0.0,100.0,0.0,0.0,0.0 
 07/28  18:00:00,22.76957350510488,22.311096597687408,22.59842829895277,22.735813202236323,22.361974075101764,20.0,0.0,0.0,15.0,0.0,0.0,0.0 
 07/28  19:00:00,22.335956090756047,22.097283770670864,22.391577045498548,22.35560458562785,22.211493162622376,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/28  20:00:00,21.89671303735681,21.85192501862047,22.16453870251247,21.96817424667138,22.014964469441816,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/28  21:00:00,22.268588868001865,22.512758328374664,22.89572180490626,22.373758966191283,22.743186393138726,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/28  22:00:00,22.386392707096037,22.80112332110399,23.12668173970538,22.511086803749664,23.06408566879253,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/28  23:00:00,22.30371662802009,22.78871483231773,23.132439960497338,22.43227864001163,23.05957089532629,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/28  24:00:00,22.22407577126111,22.754116962736697,23.110751902623549,22.355216536132127,23.030362139044276,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/29  01:00:00,22.109779924596777,22.69552125373417,23.07264737198905,22.244361302674418,22.977340908889894,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/29  02:00:00,21.989481879850719,22.62954170073008,23.022534583610676,22.12830014655643,22.916617939241968,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/29  03:00:00,21.86207113875699,22.55410303049113,22.96485089377616,22.003797936406607,22.845000457642319,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/29  04:00:00,21.738185485000309,22.47834804899391,22.905392695416749,21.881643517832346,22.77206746469185,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/29  05:00:00,21.630835548967398,22.41280398696121,22.848131191514765,21.775677540032939,22.709109969515226,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/29  06:00:00,21.554957753917785,22.358984268748516,22.805773481581015,21.700255618023676,22.64124179844064,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/29  07:00:00,21.68327532369654,22.465118611549149,22.85118210461858,21.858590523349457,22.754841225888826,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/29  08:00:00,22.00115255095225,22.731381067735144,22.990992988694069,22.200019111556239,23.048019402487648,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/29  09:00:00,22.453711458875934,23.09698020334049,23.207139049825224,22.57776587497127,23.346668871131535,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/29  10:00:00,22.87185116414119,23.42609283651579,23.45641731238719,22.96630180619048,23.658857992028176,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/29  11:00:00,23.3295364957297,23.78428228520261,23.713952239349177,23.39138176461746,23.9963975152393,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/29  12:00:00,23.86667104270122,24.242415488282338,23.977730928109567,23.801196867900356,24.32374390135078,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/29  13:00:00,24.339486269942449,24.649426651201634,24.224276481756886,24.149059368454524,24.60108978852339,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/29  14:00:00,24.67890312451372,24.939626702190986,24.419974109249787,24.424858486916269,24.820991332791594,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/29  15:00:00,25.37381022517399,25.163048870182963,24.649113174463215,25.08255383718717,24.985536377804693,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/29  16:00:00,26.256385755704913,25.347115819729674,24.8854065735444,25.921943083903295,25.096340892316016,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/29  17:00:00,26.69986242234147,25.358089684828664,25.019607269127016,26.386127665517458,25.102846413024208,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/29  18:00:00,26.73752770263983,25.250909262869965,25.046444148062585,26.475228560937628,25.05241235862236,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/29  19:00:00,26.423915473440315,25.129277520735607,24.978944546023315,26.20313867416155,24.99680282976672,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/29  20:00:00,25.82586923558862,24.940222250404316,24.802849031443694,25.66498572330395,24.866911663219029,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/29  21:00:00,25.36537591364489,24.781156600964274,24.63119329159296,25.221442176116225,24.72432399063623,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/29  22:00:00,25.08922221430798,24.666545972287943,24.518130075001247,24.95450771413234,24.620153352508873,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/29  23:00:00,24.923491794561714,24.596348488303847,24.445478473319186,24.79533247423141,24.556252039229834,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/29  24:00:00,24.79250003465643,24.53947149309721,24.396620727700303,24.669316233534607,24.504516437295704,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/30  01:00:00,24.705301494177726,24.505347771579289,24.361376748848909,24.58609255792037,24.475090908100996,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/30  02:00:00,24.625870362452269,24.472662515462035,24.332073922108806,24.510970350375719,24.446918550045586,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/30  03:00:00,24.56419617126148,24.44892410646912,24.308439335331653,24.45381793173413,24.427367391647029,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/30  04:00:00,24.51200696167598,24.431270300394414,24.29028496316896,24.406021212428269,24.413286053077046,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/30  05:00:00,24.478967608034077,24.426396751860449,24.280354813349825,24.376744337740026,24.410818347666397,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/30  06:00:00,24.48547284091417,24.4388507494055,24.28856981648976,24.389224972998105,24.42160129094115,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/30  07:00:00,24.587910381052365,24.53654198139544,24.358382968728784,24.512247001736218,24.520276777459153,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/30  08:00:00,24.94060889908178,24.823448092018859,24.514568843241734,24.865934458440646,24.797903852043086,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/30  09:00:00,25.47401924088028,25.231265297712264,24.736084372649818,25.32908472260616,25.131595251396253,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/30  10:00:00,26.01643476472797,25.65757900977855,24.997207845422055,25.791501452876884,25.47184054709169,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/30  11:00:00,26.527065374465395,26.081545680743177,25.293909214793027,26.21639459851152,25.813056873259229,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/30  12:00:00,27.05325628490212,26.545108040222396,25.569821407141786,26.594905081903354,26.118408486547066,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/30  13:00:00,27.4561391494102,26.865168941362066,25.755598249556095,26.912274884049518,26.327000681461095,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/30  14:00:00,27.76737238452652,27.072712835820349,25.93746815537171,27.193591043343749,26.49180602611001,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/30  15:00:00,28.22514104024309,27.26587679234052,26.163538788470068,27.646428506991734,26.66906306839686,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/30  16:00:00,28.135641668438518,27.194728047387195,26.242333122507956,27.604559537083476,26.648565216633409,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/30  17:00:00,27.918897490734918,26.98755371748004,26.188955087842396,27.454016410259546,26.504427578267526,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/30  18:00:00,28.21335046203908,26.959061726208284,26.25693984616516,27.801520372665473,26.534378484004824,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/30  19:00:00,28.00344927717868,26.87603150477141,26.23789708731054,27.628392828195837,26.50825457140158,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/30  20:00:00,27.607221535585887,26.744200211680146,26.122557531024684,27.2652735912906,26.409906485820906,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/30  21:00:00,27.322726909738625,26.6206252849339,26.024413282559146,26.99729157344562,26.30562486870058,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/30  22:00:00,27.164035793671837,26.54729554600208,25.96538862333777,26.84915417862714,26.2445681707426,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/30  23:00:00,27.08783658544271,26.521269958981173,25.940771168082727,26.781086772796195,26.2285144530667,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/30  24:00:00,27.02851775100433,26.50507895184317,25.93226830182249,26.73013016470606,26.22252354782837,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
